Designator,Mid X,Mid Y,Layer,Rotation
C3,11.82,19.58,Top,90
C5,6.79,12,Top,90
C6,11.08,19.58,Top,90
C7,23.85,38.71,Top,90
C11,4.18,35.4,Top,0
C21,9.16,28.58,Top,270
C23,10.91,28.55,Top,180
C25,2.92,9.43,Top,90
C26,5.98,10.28,Top,90
C28,16.84,39.29,Top,270
C29,16.84,40.6,Top,90
C30,4.28,37.85,Top,0
C31,4.31,40.41,Top,180
C32,3.31,27.85,Top,270
DETECT,8.59,7.55,Top,90
IC1,22.17,39.95,Top,270
IC2,8.43,11.82,Top,90
IC3,13.47,23.6,Top,270
IC4,13.47,33.02,Top,180
IC6,5.33,8.02,Top,270
IC7,13.51,16.24,Top,0
M.2-M1,13.97,24.13,Top,0
R1,7.94,39.44,Top,180
R5,16.11,10.17,Top,0
R6,15.97,40.05,Top,270
R7,16.1,10.89,Top,180
R8,11.23,38.72,Top,270
R9,17.21,16.39,Top,0
R10,17.21,17.12,Top,0
R11,16.1,11.63,Top,180
R12,13.93,20.08,Top,0
R13,10.29,16.81,Top,90
R14,17.34,15.21,Top,90
R15,17.34,14.27,Top,90
R16,7.69,7.08,Top,270
R21,11.96,38.72,Top,270
R22,12.69,38.72,Top,270
R29,10.29,17.78,Top,90
R30,10.52,27.76,Top,180
R31,12.96,20.08,Top,0
R32,11.91,28.03,Top,90
R33,12.62,28.03,Top,90
RX,17.64,19.69,Top,180
TX,15.88,19.7,Top,0
X1,18.86,39.95,Top,270
C1,5.07,7.38,Bottom,0
C2,5.14,9.6,Bottom,180
C4,15.74,14.15,Bottom,90
C8,4.22,36.71,Bottom,0
C9,6.06,41.43,Bottom,0
C10,4.25,30.32,Bottom,0
C12,5.02,31.56,Bottom,0
C13,14.67,22.17,Bottom,90
C14,15.34,30.79,Bottom,90
C15,10.94,31.59,Bottom,90
C16,12.03,30.22,Bottom,180
C17,15.69,33.33,Bottom,180
C18,10.21,31.62,Bottom,90
C19,14.49,35.44,Bottom,0
C20,10.94,32.95,Bottom,270
C22,11.65,35.44,Bottom,180
C24,14.64,30.79,Bottom,90
C27,12.03,30.94,Bottom,180
IC5,4.18,34.11,Bottom,180
IC8,4.75,39.09,Bottom,180
M.2-M1,13.97,24.13,Bottom,180
R2,3.64,31.55,Bottom,0
R3,18.65,33.46,Bottom,0
R4,18.64,32.49,Bottom,0
R17,8,39.91,Bottom,180
R18,7.98,40.65,Bottom,0
R23,17.31,32.49,Bottom,0
R24,17.31,33.44,Bottom,0
R27,4.67,41.43,Bottom,180
R28,3.35,41.42,Bottom,180
REF1,4.27,27.99,Bottom,0
