EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
N$109	1.166421356	0.000000000	0.000	--
N$43	1.178847763	0.012426407	1.065	--
USBRP2_DP_P	1.339832034	0.173410678	14.867	--
USBRP2_DP_N	1.343974170	0.177552814	15.222	--
FT_RX	1.346213203	0.179791847	15.414	--
N$6	1.369264069	0.202842712	17.390	--
VFB	1.830710678	0.664289322	56.951	--
SWDIO	2.033263492	0.866842136	74.316	--
FT_TX	2.156751442	0.990330086	84.903	--
VREGO	2.185136867	1.018715511	87.337	--
SWCLK	2.343923664	1.177502307	100.950	--
N$53	2.388233765	1.221812409	104.749	--
DETECT	3.233847763	2.067426407	177.245	--
N$111	3.347990706	2.181569350	187.031	--
REGO	3.853172798	2.686751442	230.341	--
RP_XO	4.709731022	3.543309665	303.776	--
N$110	5.704131054	4.537709698	389.028	--
FBTRIM	6.555892080	5.389470723	462.052	--
VREF	6.932888886	5.766467530	494.373	--
I2C0_SCL	7.088146750	5.921725394	507.683	--
USB_DP_P	7.651492783	6.485071427	555.980	--
USB_DP_N	7.651492783	6.485071427	555.980	--
RP_XI	8.336890512	7.170469155	614.741	--
USBFT_DP_N	9.080379985	7.913958629	678.482	--
USBFT_DP_P	9.105889025	7.939467669	680.669	--
QSPI_SD3	10.000073346	8.833651990	757.329	--
QSPI_SCLK	10.000095540	8.833674183	757.331	--
QSPI_SD0	10.000098655	8.833677299	757.332	--
QSPI_SD2	10.005056862	8.838635506	757.757	--
QSPI_SD1	10.035748063	8.869326707	760.388	--
I2C0_SDA	10.287354803	9.120933446	781.959	--
!QSPI_SS	10.800607500	9.634186143	825.961	--
AVDD	15.739663102	14.573241745	1249.398	--
VCCIO	15.890145031	14.723723675	1262.299	--
USBRP_DP_P	19.794174831	18.627753475	1597.000	--
USBRP_DP_N	20.255196209	19.088774853	1636.525	--
N$9	22.300000000	21.133578644	1811.831	--
N$10	22.300000000	21.133578644	1811.831	--
N$11	22.300000000	21.133578644	1811.831	--
N$13	22.300000000	21.133578644	1811.831	--
N$14	22.300000000	21.133578644	1811.831	--
N$15	22.300000000	21.133578644	1811.831	--
GP2	30.997864581	29.831443225	2557.519	--
GP3	31.561572525	30.395151168	2605.847	--
VCORE	33.140048110	31.973626754	2741.173	--
GP6	34.213828601	33.047407245	2833.231	--
GP7	34.722154220	33.555732864	2876.811	--
GP10	36.478793196	35.312371840	3027.411	--
GP5	36.660276458	35.493855102	3042.970	--
GP11	36.980325712	35.813904356	3070.409	--
GP4	37.031970422	35.865549065	3074.836	--
GP1	37.864324448	36.697903092	3146.196	--
GP12	38.553395998	37.386974642	3205.272	--
AD3	39.394047966	38.227626610	3277.343	--
GP13	39.938520239	38.772098883	3324.022	--
GP14	41.193189840	40.026768484	3431.587	--
GP19	42.239992045	41.073570689	3521.332	--
GP15	42.342417882	41.175996526	3530.113	--
VBUS	42.717768565	41.551347209	3562.293	--
AD0	43.419925323	42.253503967	3622.491	--
AD2	43.505215200	42.338793844	3629.803	--
GP0	43.737175050	42.570753694	3649.689	--
AD1	43.932028653	42.765607297	3666.394	--
GP24	44.289806433	43.123385076	3697.068	--
GP23	44.407009142	43.240587786	3707.116	--
GP20	44.448914355	43.282492999	3710.708	--
GP22	44.550042655	43.383621299	3719.378	--
GP18	45.062842152	43.896420796	3763.342	--
SWDIO_M2	45.094946578	43.928525222	3766.094	--
GP21	45.200832951	44.034411594	3775.172	--
GP17	46.108095078	44.941673721	3852.954	--
SWCLK_M2	46.946536339	45.780114983	3924.835	--
GP16	47.226692571	46.060271215	3948.854	--
RUN	53.218672734	52.052251378	4462.560	--
GP25	57.742934031	56.576512675	4850.435	--
GP9	57.971669592	56.805248236	4870.045	--
+3V3_MCU	59.859810156	58.693388800	5031.920	--
GP8	71.244967433	70.078546077	6007.996	--
GND	118.996813689	117.830392333	10101.872	--
